WigleWifi-1.4,appRelease=2.26,model=HTC U11,release=7.1.1,device=htc_ocndugl,display=NMF26X release-keys,board=msm8998,brand=htc
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:16:28:ec,Ariel_University,[ESS],2017-10-30 13:25:01,40,-68,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],2017-10-30 13:25:01,11,-45,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],2017-10-30 13:25:01,1,-58,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],2017-10-30 13:25:01,11,-80,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
40:a5:ef:8a:9f:31,,[WPA2-PSK-CCMP][ESS],2017-10-30 13:25:01,52,-84,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
40:a5:ef:8a:9f:2b,Google,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 13:25:01,52,-86,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
40:a5:ef:8a:9f:2a,5WWG,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 13:25:01,52,-88,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],2017-10-30 13:25:01,44,-54,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
1c:b9:c4:12:90:bc,Ariel_University,[ESS],2017-10-30 13:25:01,40,-88,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
00:1a:dd:f5:d4:64,PEPWAVE_733D,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-30 13:25:01,8,-76,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],2017-10-30 13:25:01,1,-70,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
1c:b9:c4:96:28:e7,,[WPA2-PSK-CCMP][ESS],2017-10-30 13:25:01,40,-69,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
1c:b9:c4:92:90:b7,,[WPA2-PSK-CCMP][ESS],2017-10-30 13:25:01,40,-88,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
1c:b9:c4:96:d2:87,,[WPA2-PSK-CCMP][ESS],2017-10-30 13:25:01,44,-55,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
00:25:86:cb:fd:f8,,[ESS],2017-10-30 13:25:01,9,-65,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
34:8f:27:20:8c:1c,Ariel_University,[ESS],2017-10-30 13:25:01,36,-88,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
ec:8c:a2:08:94:1c,Ariel_University,[ESS],2017-10-30 13:25:01,40,-90,32.10316838,35.20889173,686.239013671875,17.152000427246094,WIFI
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 13:25:01,0,-113,32.10316838,35.20889173,686.239013671875,17.152000427246094,GSM
24:79:2a:2c:3d:68,Ariel_University,[ESS],2017-10-30 13:25:04,11,-73,32.10316896,35.20889571,686.20263671875,18.224000930786133,WIFI
14:ae:db:cc:1a:8d,gilo1,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 13:25:04,13,-76,32.10316896,35.20889571,686.20263671875,18.224000930786133,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],2017-10-30 13:25:04,11,-76,32.10316896,35.20889571,686.20263671875,18.224000930786133,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],2017-10-30 13:25:07,1,-53,32.10317035,35.20890387,685.9140625,17.152000427246094,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],2017-10-30 13:25:07,44,-49,32.10317035,35.20890387,685.9140625,17.152000427246094,WIFI
1c:b9:c4:96:d2:87,,[WPA2-PSK-CCMP][ESS],2017-10-30 13:25:07,44,-44,32.10317035,35.20890387,685.9140625,17.152000427246094,WIFI
00:25:86:cb:fd:f8,,[ESS],2017-10-30 13:25:13,9,-58,32.10317528,35.20891604,685.379150390625,12.86400032043457,WIFI
00:02:6f:b8:c4:1a,,[ESS],2017-10-30 13:25:16,11,-81,32.10317523,35.20891635,685.1629638671875,9.648000717163086,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],2017-10-30 13:25:19,40,-62,32.10317548,35.20891672,684.7041015625,9.648000717163086,WIFI
40:a5:ef:8a:9f:2a,5WWG,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 13:25:22,52,-83,32.1031763,35.20891757,684.2498779296875,8.576000213623047,WIFI
ec:8c:a2:08:94:18,Ariel_University,[ESS],2017-10-30 13:25:28,1,-75,32.10317399,35.20891574,684.7939453125,12.86400032043457,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],2017-10-30 13:25:31,5,-80,32.10317389,35.2089156,684.8056640625,11.791999816894531,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],2017-10-30 13:25:49,11,-40,32.10317215,35.20891354,685.2216796875,7.504000186920166,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],2017-10-30 13:27:20,44,-44,32.10317181,35.20891279,685.528076171875,10.720000267028809,WIFI
00:1a:dd:e3:65:e5,,[ESS],2017-10-30 13:27:59,11,-79,32.10317194,35.20891233,685.6466064453125,12.86400032043457,WIFI
00:1a:dd:e3:65:e4,Wirless-Afikim,[ESS],2017-10-30 13:27:59,11,-79,32.10317194,35.20891233,685.6466064453125,12.86400032043457,WIFI
ec:8c:a2:88:94:17,,[WPA2-PSK-CCMP][ESS],2017-10-30 13:28:26,40,-88,32.10317199,35.20891162,685.69287109375,11.791999816894531,WIFI
f8:e9:03:12:5e:51,sharli2.4,[WEP][ESS],2017-10-30 13:28:50,11,-84,32.10317145,35.2089105,685.932861328125,11.791999816894531,WIFI
1c:b9:c4:16:f4:28,Ariel_University,[ESS],2017-10-30 13:28:50,11,-82,32.10317145,35.2089105,685.932861328125,11.791999816894531,WIFI
24:c9:a1:35:ba:c8,Ariel_University,[ESS],2017-10-31 19:31:15,1,-59,32.10628021,35.20300466,624.72412109375,13.93600082397461,WIFI
24:c9:a1:35:ba:18,Ariel_University,[ESS],2017-10-31 19:31:15,11,-81,32.10628021,35.20300466,624.72412109375,13.93600082397461,WIFI
30:b5:c2:b8:40:36,,[WPA2-PSK-CCMP][ESS],2017-10-31 19:31:15,13,-83,32.10628021,35.20300466,624.72412109375,13.93600082397461,WIFI
42501_7213_5396482,Partner,UNKNOWN;il,2017-10-31 19:31:15,0,-113,32.10628021,35.20300466,624.72412109375,13.93600082397461,GSM
24:c9:a1:35:ba:c8,Ariel_University,[ESS],2017-11-01 14:59:16,1,-67,32.1058621,35.20284635,677.9752197265625,15.008000373840332,WIFI
e0:10:7f:1a:8c:98,Ariel_University,[ESS],2017-11-01 14:59:16,1,-77,32.1058621,35.20284635,677.9752197265625,15.008000373840332,WIFI
42501_7213_5396482,Partner,UNKNOWN;il,2017-11-01 14:59:16,0,-113,32.1058621,35.20284635,677.9752197265625,15.008000373840332,GSM
14:ae:db:c0:7c:05,michael,[WPA2-PSK-CCMP][ESS],2017-11-01 14:59:18,6,-75,32.10584107,35.20289139,672.9322509765625,17.152000427246094,WIFI
00:25:86:cc:01:96,KCG_84,[ESS],2017-11-01 14:59:29,2,-83,32.10589261,35.20287716,668.64599609375,8.576000213623047,WIFI
00:1a:dd:f5:e8:44,Afikim-923,[ESS],2017-11-01 14:59:56,1,-81,32.1059159,35.20286698,669.8719482421875,5.360000133514404,WIFI
06:ae:db:c0:7c:05,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-01 15:00:08,6,-77,32.10597338,35.20284947,671.9239501953125,5.360000133514404,WIFI
24:c9:a1:35:ba:c8,Ariel_University,[ESS],2017-11-05 12:22:29,1,-63,32.10637806,35.20273687,649.32568359375,27.87200164794922,WIFI
42501_7213_5396482,Partner,UNKNOWN;il,2017-11-05 12:22:29,0,-113,32.10637806,35.20273687,649.32568359375,27.87200164794922,GSM
e0:10:7f:1a:8c:98,Ariel_University,[ESS],2017-11-05 12:22:35,1,-80,32.10627784,35.20276973,649.5654296875,13.93600082397461,WIFI
24:c9:a1:35:ba:c8,Ariel_University,[ESS],2017-11-05 12:22:38,1,-56,32.10626207,35.20277054,650.6103515625,11.791999816894531,WIFI
30:b5:c2:b8:40:36,,[WPA2-PSK-CCMP][ESS],2017-11-05 12:22:44,13,-81,32.10602922,35.20274571,672.195556640625,6.432000160217285,WIFI
e0:10:7f:1a:8c:98,Ariel_University,[ESS],2017-11-05 13:39:14,1,-79,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
10:be:f5:35:20:20,aviad-moshe1,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:14,1,-84,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
8c:0c:90:2d:2d:a8,Ariel_University,[ESS],2017-11-05 13:39:14,1,-77,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
c8:d7:19:09:52:57,gal,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-05 13:39:14,5,-78,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
8c:0c:90:2f:ca:38,Ariel_University,[ESS],2017-11-05 13:39:14,6,-75,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
00:25:86:cc:01:96,KCG_84,[ESS],2017-11-05 13:39:14,2,-82,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
8c:0c:90:2f:35:08,Ariel_University,[ESS],2017-11-05 13:39:14,6,-71,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
14:ae:db:c0:7c:05,michael,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:14,6,-71,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
24:c9:a1:95:7e:b3,,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:14,6,-79,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
84:18:3a:84:3d:53,,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:14,11,-72,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
24:c9:a1:55:7e:b3,island-157EB0,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:14,6,-78,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
24:c9:a1:35:ba:18,Ariel_University,[ESS],2017-11-05 13:39:14,11,-49,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
e0:10:7f:1e:74:28,Ariel_University,[ESS],2017-11-05 13:39:14,1,-67,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
8c:0c:90:2d:7a:d8,Ariel_University,[ESS],2017-11-05 13:39:14,11,-69,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
24:c9:a1:36:20:38,Ariel_University,[ESS],2017-11-05 13:39:14,11,-62,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
14:ae:db:55:15:c5,BEZEQINT-15C1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-05 13:39:14,11,-83,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
8c:0c:90:2f:fe:58,Ariel_University,[ESS],2017-11-05 13:39:14,11,-67,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
24:c9:a1:35:d0:88,Ariel_University,[ESS],2017-11-05 13:39:14,1,-56,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
84:18:3a:44:3d:53,island-043D50,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:14,11,-68,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
06:ae:db:c0:7c:05,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:14,6,-69,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
8c:0c:90:2d:79:88,Ariel_University,[ESS],2017-11-05 13:39:14,11,-64,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
24:c9:a1:36:51:c8,Ariel_University,[ESS],2017-11-05 13:39:14,6,-76,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
8c:0c:90:2c:e8:68,Ariel_University,[ESS],2017-11-05 13:39:14,6,-80,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
24:c9:a1:15:7d:e8,Ariel_University,[ESS],2017-11-05 13:39:14,6,-82,32.10565537,35.20335745,689.1387939453125,4.288000106811523,WIFI
42501_7211_3084804,Partner,UNKNOWN;il,2017-11-05 13:39:14,0,-113,32.10565537,35.20335745,689.1387939453125,4.288000106811523,GSM
8c:0c:90:2d:2d:a8,Ariel_University,[ESS],2017-11-05 13:39:18,1,-72,32.10562049,35.20337915,676.731689453125,3.2160000801086426,WIFI
8c:0c:90:2f:35:08,Ariel_University,[ESS],2017-11-05 13:39:18,6,-64,32.10562049,35.20337915,676.731689453125,3.2160000801086426,WIFI
14:ae:db:c0:7c:05,michael,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:18,6,-56,32.10562049,35.20337915,676.731689453125,3.2160000801086426,WIFI
06:ae:db:c0:7c:05,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:18,6,-56,32.10562049,35.20337915,676.731689453125,3.2160000801086426,WIFI
24:c9:a1:36:51:c8,Ariel_University,[ESS],2017-11-05 13:39:18,6,-57,32.10562049,35.20337915,676.731689453125,3.2160000801086426,WIFI
e0:10:7f:9e:74:23,,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:18,1,-66,32.10562049,35.20337915,676.731689453125,3.2160000801086426,WIFI
24:c9:a1:35:ba:c8,Ariel_University,[ESS],2017-11-05 13:39:18,1,-73,32.10562049,35.20337915,676.731689453125,3.2160000801086426,WIFI
e0:10:7f:1a:8c:98,Ariel_University,[ESS],2017-11-05 13:39:20,1,-74,32.1056187,35.20339161,674.5850830078125,3.2160000801086426,WIFI
14:ae:db:55:15:c5,BEZEQINT-15C1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-05 13:39:20,11,-75,32.1056187,35.20339161,674.5850830078125,3.2160000801086426,WIFI
14:ae:db:52:8b:85,david,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:20,6,-82,32.1056187,35.20339161,674.5850830078125,3.2160000801086426,WIFI
02:02:fb:b2:f2:b9,REL-WIFI,[WEP][IBSS],2017-11-05 13:39:20,11,-75,32.1056187,35.20339161,674.5850830078125,3.2160000801086426,WIFI
24:c9:a1:35:a7:d8,Ariel_University,[ESS],2017-11-05 13:39:20,1,-72,32.1056187,35.20339161,674.5850830078125,3.2160000801086426,WIFI
24:c9:a1:36:52:18,Ariel_University,[ESS],2017-11-05 13:39:20,6,-82,32.1056187,35.20339161,674.5850830078125,3.2160000801086426,WIFI
10:be:f5:35:20:20,aviad-moshe1,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:22,1,-79,32.1056221,35.20341081,673.759033203125,3.2160000801086426,WIFI
24:c9:a1:36:49:68,Ariel_University,[ESS],2017-11-05 13:39:24,1,-64,32.10562228,35.20343503,672.3126220703125,3.2160000801086426,WIFI
8c:0c:90:2d:79:f8,Ariel_University,[ESS],2017-11-05 13:39:24,1,-71,32.10562228,35.20343503,672.3126220703125,3.2160000801086426,WIFI
24:c9:a1:33:31:18,Ariel_University,[ESS],2017-11-05 13:39:24,11,-82,32.10562228,35.20343503,672.3126220703125,3.2160000801086426,WIFI
8c:0c:90:2f:35:08,Ariel_University,[ESS],2017-11-05 13:39:25,6,-57,32.10561986,35.20344445,672.03857421875,3.2160000801086426,WIFI
24:c9:a1:35:ba:18,Ariel_University,[ESS],2017-11-05 13:39:25,11,-43,32.10561986,35.20344445,672.03857421875,3.2160000801086426,WIFI
8c:0c:90:2d:79:f8,Ariel_University,[ESS],2017-11-05 13:39:30,1,-65,32.10561216,35.2034743,668.52783203125,3.2160000801086426,WIFI
00:1a:2f:7f:6b:70,,[WPA2-PSK-CCMP][ESS],2017-11-05 13:39:30,13,-83,32.10561216,35.2034743,668.52783203125,3.2160000801086426,WIFI
02:02:f5:c5:32:ee,RelTele,[WEP][IBSS],2017-11-05 13:39:32,1,-74,32.10560924,35.20348884,668.62548828125,3.2160000801086426,WIFI
e0:10:7f:1a:8c:d8,Ariel_University,[ESS],2017-11-05 13:39:32,11,-83,32.10560924,35.20348884,668.62548828125,3.2160000801086426,WIFI
